Question,related_sentences
Was the nationalization of iron industries in the Han dynasty permanent?,"To finance its military campaigns and the settlement of newly conquered frontier territories, the Han government nationalized the private salt and iron industries in 117 BC, though these government monopolies were later repealed during the Eastern Han dynasty. Science and technology during the Han period saw significant advances, including the process of papermaking, the nautical steering ship rudder, the use of negative numbers in mathematics, the raised-relief map, the hydraulic-powered armillary sphere for astronomy, and a seismometer employing an inverted pendulum that could be used to discern the cardinal direction of distant earthquakes. The Han dynasty is known for the many conflicts it had with the Xiongnu, a nomadic steppe confederation to the dynasty's north."
Did the Xiongnu defeat the Hans?,"The Han dynasty is known for the many conflicts it had with the Xiongnu, a nomadic steppe confederation to the dynasty's north. They defeated the Han in 200 BC and forced the Han to submit as a de facto inferior and vassal partner for several decades, while continuing their military raids on the dynasty's borders. This changed in 133 BC, during the reign of Emperor Wu, when Han forces began a series of intensive military campaigns and operations against the Xiongnu. The Han ultimately defeated the Xiongnu in these campaigns, and the Xiongnu were forced to accept vassal status as Han tributaries."
Has modern northern Sichuan ever had rebellion?,"End of the Han dynasty The Partisan Prohibitions were repealed during the Yellow Turban Rebellion and Five Pecks of Rice Rebellion in 184 AD, largely because the court did not want to continue to alienate a significant portion of the gentry class who might otherwise join the rebellions. The Yellow Turbans and Five-Pecks-of-Rice adherents belonged to two different hierarchical Daoist religious societies led by faith healers Zhang Jue (d. 184 AD) and Zhang Lu (d. 216 AD), respectively. Zhang Lu's rebellion, in modern northern Sichuan and southern Shaanxi, was not quelled until 215 AD."
Yang Xiong made advancements in what field during the Han dynasty?,"The assault culminated in 119 BC at the Battle of Mobei, when Han commanders Huo Qubing (d. 117 BC) and Wei Qing (d. 106 BC) forced the Xiongnu court to flee north of the Gobi Desert, and Han forces reached as far north as Lake Baikal. The Xiongnu leader Huhanye Chanyu (r. 58–31 BC) finally submitted to the Han as a tributary vassal in 51 BC. Huhanye's rival claimant to the throne, Zhizhi Chanyu (r. 56–36 BC), was killed by Han forces under Chen Tang and Gan Yanshou (甘延壽) at the Battle of Zhizhi, in modern Taraz, Kazakhstan. They repelled a joint Xiongnu-Qiang invasion of this northwestern territory in 111 BC."
Did the Han dynasty force commoners to move to frontiers?,"These connections marked the beginning of the Silk Road trade network that extended to the Roman Empire, bringing Han items like silk to Rome and Roman goods such as glasswares to China. From roughly 115 to 60 BC, Han forces fought the Xiongnu over control of the oasis city-states in the Tarim Basin. To pay for his military campaigns and colonial expansion, Emperor Wu nationalized several private industries."
When was the court conference that convinced the majority that the Xiongnu realm will fall into chaos? ,"Wu accepted this, despite continuing Xiongnu raids. However, a court conference the following year convinced the majority that a limited engagement at Mayi involving the assassination of the Chanyu would throw the Xiongnu realm into chaos and benefit the Han."
How long did Emperor Wu's liquor monopoly last?,"He created central government monopolies administered largely by former merchants. These monopolies included salt, iron, and liquor production, as well as bronze-coin currency. The liquor monopoly lasted only from 98 to 81 BC, and the salt and iron monopolies were eventually abolished in early Eastern Han. The issuing of coinage remained a central government monopoly throughout the rest of the Han dynasty."
Did women work and make money?,"However, it is known from contemporary sources that there were many deviations to this rule, especially in regard to mothers over their sons, and empresses who ordered around and openly humiliated their fathers and brothers. Women were exempt from the annual corvée labor duties, but often engaged in a range of income-earning occupations aside from their domestic chores of cooking and cleaning. The most common occupation for women was weaving clothes for the family, sale at market or for large textile enterprises that employed hundreds of women."
Did the early Western Han court simultaneously accept multiple philosophical teachings in making state decisions and shaping government policy?,"Education, literature, and philosophy The early Western Han court simultaneously accepted the philosophical teachings of Legalism, Huang-Lao Daoism, and Confucianism in making state decisions and shaping government policy. However, the Han court under Emperor Wu gave Confucianism exclusive patronage."
Is the reason the Han dynasty is split into Western and Eastern Han is because of the Xin dynasty?,"Up until the reign of Emperor Jing of Han, the Emperors of the Han had great difficulty bringing the vassal kings under control, as kings often switched their allegiance to the Xiongnu Chanyu whenever threatened by Imperial attempts to centralize power. The Han emperors moved to secure a treaty with the Chanyu to demarcate authority between them, recognizing each other as the ""two masters"" (兩主), the sole representatives of their respective peoples, cemented with a marriage alliance (heqin), before eliminating the rebellious vassal kings in 154 BC. This prompted some vassal kings of the Xiongnu to switch their allegiance to the Han emperor from 147 BC."
Did Emperor Wu annex Nanyue before annexing Dian?,"This changed in 133 BC, during the reign of Emperor Wu, when Han forces began a series of intensive military campaigns and operations against the Xiongnu. Wu also launched successful military expeditions in the south, annexing Nanyue in 111 BC and Dian in 109 BC. He expanded Han territory into the northern Korean Peninsula as well, where Han forces conquered Gojoseon and established the Xuantu and Lelang Commanderies in 108 BC."
When did Qin Shi Huang die? ,"After Yuan died, Cao killed Yuan Shao's son Yuan Tan (173–205 AD), who had fought with his brothers over the family inheritance. Cao Cao died in March 220 AD. By December his son Cao Pi (187–226 AD) had Emperor Xian relinquish the throne to him and is known posthumously as Emperor Wen of Wei."
How long did Wang Mang’s Xin dynasty last? ,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). The dynasty was briefly interrupted by the Xin dynasty (9–23 AD) established by usurping regent Wang Mang, and is thus separated into two periods—the Western Han (202 BC – 9 AD) and the Eastern Han (25–220 AD). Spanning over four centuries, the Han dynasty is considered a golden age in Chinese history, and it has influenced the identity of the Chinese civilization ever since."
Was Chu-Han contention before the Han dynasty?,"The era from his reign until the fall of Han is known as the Eastern Han or Later Han (25–220 AD). Eastern Han The Eastern Han (traditional Chinese: 東漢; simplified Chinese: 东汉; pinyin: Dōnghàn), also known as the Later Han (traditional Chinese: 後漢; simplified Chinese: 后汉; pinyin: Hòuhàn), formally began on 5 August AD 25, when Liu Xiu became Emperor Guangwu of Han. During the widespread rebellion against Wang Mang, the state of Goguryeo was free to raid Han's Korean commanderies; Wang Mang renewed hostilities against the Xiongnu, who were estranged from Han until their leader Bi (比), a rival claimant to the throne against his cousin Punu (蒲奴), submitted to Han as a tributary vassal in AD 50."
